id,sample_id,file_id
387,151,447
388,151,448
389,151,449
390,151,450
391,151,451
392,151,452
393,151,453
394,151,454
395,151,455
396,151,456
397,151,457
398,151,458
399,151,459
400,151,460
401,151,461
402,151,462
403,151,463
404,151,464
405,151,465
406,151,466
407,151,467
408,151,468
409,151,469
18916,4346,88252
18918,4346,88254
18919,4346,88255
18920,4346,88256
18921,4346,88257
18922,4346,88258
18925,4347,88261
18926,4347,88262
18927,4347,88263
18928,4347,88264
18929,4347,88265
18930,4347,88266
