id,dataset_id,type_id
402,304,18
403,305,19
479,369,15
483,373,20
549,429,20
560,441,19
809,617,6
810,617,14
857,640,2
858,640,5
859,640,16
867,649,5
868,649,6
869,649,14
2767,1790,5
2768,1790,6
2769,1790,17
2777,1795,6
2778,1795,8
2779,1795,14
2795,1795,5
2798,1795,21
2804,1804,6
2805,1804,11
2821,1817,2
2822,1817,12
2839,1817,4
2840,1817,5
2841,1817,6
2842,1817,21
2860,1838,2
2861,1838,4
2862,1838,12
2875,1848,5
2879,1850,6
2880,1850,17
2884,1848,17
2885,1848,19
2915,1872,6
2918,1872,2
2919,1872,4
2920,1872,16
2936,1884,11
2937,1884,6
2938,1884,7
2942,1887,20
2998,1917,6
2999,1917,2
3000,1917,1
3028,1933,8
3029,1933,6
3084,1976,6
3085,1976,5
3086,1976,8
3087,1976,12
3091,1980,22
3092,1981,6
3094,1981,3
3095,1981,5
3098,1984,5
3099,1984,7
3100,1984,6
3103,1984,8
3104,1984,10
3115,1991,1
3116,1991,4
3117,1991,5
3122,1996,2
3123,1996,4
3124,1996,10
3129,1999,2
3130,1999,13
3131,1999,4
3138,2005,7
3139,2005,21
3141,2004,5
3142,2004,6
3143,2007,2
3144,2007,16
3154,2018,2
3155,2018,6
3156,2018,5
3159,2021,2
3164,2024,2
3165,2024,3
3168,2027,6
3170,2028,6
3171,2028,3
3172,2029,11
3173,2029,22
3175,2031,7
3176,2027,5
3177,2032,7
3178,2032,21
3179,2032,6
3183,2034,10
3184,2035,2
3185,2035,1
3186,2035,13
3187,2036,6
3188,2037,7
3189,2037,6
3190,2038,4
3191,2039,2
3192,2039,4
