id,tax_id,common_name,genbank_name,scientific_name,eol_link
7,9606,Human,human,Homo sapiens,
10,10029,Chinese hamster,Chinese hamster,Cricetulus griseus,
19,9823,Pig,pig,Sus scrofa,
21,10090,Mouse,house mouse,Mus musculus,
1165,1358,,,Lactococcus lactis,
1393,1639,,,Listeria monocytogenes,
3021,3635,American cotton,upland cotton,Gossypium hirsutum,
3081,3702,mouse-ear cress,thale cress,Arabidopsis thaliana,
3089,3711,,field mustard,Brassica rapa,
3104,3726,,radish,Raphanus sativus,
3247,3885,French bean,,Phaseolus vulgaris,
3334,3982,,,Manihot,
3788,4513,barley,,Hordeum vulgare,
3818,4550,,rye,Secale cereale,
5284,6385,,,Tubifex,
5294,6397,,,Lumbricus,
5727,6909,,,Hololena,
5788,6978,,American cockroach,Periplaneta americana,
5805,7001,,grasshoppers and locusts,Caelifera,
6116,7419,,,Diadromus,
8168,9913,bovine,cattle,Bos taurus,
11552,27395,,,Tetragnatha,
12721,28901,,,Salmonella enterica,
12816,29012,,,Araneus,
13241,29536,,,Flavobacterium succinicans,
15201,32224,loquat,,Eriobotrya japonica,
15240,32266,,,Segestria,
15742,33337,,,Salina,
15815,33416,,,Heliconius,
16266,33967,,,Leuconostoc mesenteroides subsp. mesenteroides,
16769,34553,purpleback squid,,Sthenoteuthis oualaniensis,
17583,35633,,,Tetragnatha waikamoi,
18715,36953,giant Madagascaran hissing cockroach,giant Madagascar hissing cockroach,Gromphadorhina portentosa,
22631,41426,warthog,Common warthog,Phacochoerus africanus,
22973,41807,,bearded pig,Sus barbatus,
29158,48816,,,Sinningia richii,
30481,50385,,,Diabrotica,
36455,57037,,,Lactobacillus zeae,
38027,58823,,,Plodia,
42386,63787,lavender-scallops,South American air plant,Kalanchoe fedtschenkoi,
43172,64693,,,Hippodamia,
50490,73399,,,Haemadipsa zeylanica,
51846,74980,,thin-legged wolf spiders,Pardosa,
53654,76947,,,Sphingobium herbicidovorans,
55933,79452,,,Argia,
68754,93690,,,Psechrus,
70168,95218,,,Hypena,
70237,95289,,,Lymeon,
80129,106592,,,Ensifer adhaerens,
86715,114395,,,Steatoda,
97759,126647,,,Peperomia tetraphylla,
98246,127227,,,Methona,
103267,132935,,Argentinian wood cockroach,Blaptica dubia,
107992,138011,annual rape,,Brassica napus var. napus,
127425,159856,,Java warty pig,Sus verrucosus,
130473,163160,,,unclassified Araneae,
138974,172554,,,Tetragnatha kamakou,
138975,172555,,,Tetragnatha brevignatha,
138976,172556,,,Tetragnatha restricta,
138977,172557,,,Tetragnatha perreirai,
138980,172560,,,Tetragnatha quasimodo,
138982,172563,,,Tetragnatha acuta,
152523,187172,,,Microlinyphia,
153636,188410,,,Havaika,
154126,188932,,,Pedobacter cryoconitis,
154184,188998,,,Sinningia aggregata,
154186,189000,,,Sinningia allagophylla,
154189,189003,,,Sinningia barbata,
154192,189006,,,Sinningia carangolensis,
154195,189009,,,Sinningia concinna,
154200,189014,,,Sinningia elatior,
154205,189019,,,Sinningia harleyi,
154221,189035,,,Sinningia nordestina,
154223,189037,,,Sinningia pusilla,
154226,189040,,,Sinningia sceptrum,
154227,189041,,,Sinningia sellovii,
154229,189043,,,Sinningia tubiflora,
154230,189044,,,Sinningia valsuganensis,
154232,189046,,,Sinningia warmingii,
1128858,1235509,synthetic metagenome,"",synthetic metagenome,
1129041,381124,mays,"",Zea mays sub sp. Mays,
1129154,315377,,,Sus cebifron,
1129356,251241,,,Haemadipsa picta,
1129357,2184339,,,Peperomia macraeana,
1129358,1958886,,,unclassified Amaurobiidae,
1129359,336631,,,Anyphaena,
1129360,1111401,,,unclassified Acaridae,
1129361,1111403,,,unclassified Histiostomatidae,
1129362,336647,,,Cyclosa,
1129363,388986,,,Calymmaria,
1129364,389029,,,Badumna longinqua,
1129365,430935,,,unclassified Linyphiidae,
1129366,336587,,,Cheiracanthium mildei,
1129367,486322,,,Pagiopalus,
1129368,336504,,,unclassified Salticidae,
1129369,300525,,,Tetragnatha perkinsi,
1129370,264994,,,Tetragnatha obscura,
1129371,263990,,,Tetragnatha anuenue,
1129372,473145,,,Metellina,
1129373,1227668,,,Platnickina,
1129374,1047188,,,Theridion californicum,
1129375,348401,,,Mecaphesa,
1129376,1046827,,,unclassified Sclerosomatidae,
1129377,583398,,,unclassified Cerambycidae,
1129378,237378,,,Kleidocerys,
1129379,912326,,,Ceutophilus sp.,
1129380,391882,,,Banza,
1129381,515146,,,unclassified Capnodiales ,
1129382,316991,,,unclassified Exobasidiales ,
1129383,511531,,,Peperomia leptostachya,
1129384,1642844,,,unclassified Rosaceae,
1129385,704108,,,mixed DNA library,
1129386,1159853,,,unclassified Solanaceae,
1129387,342889,,,unclassified Culicida,
1129388,320165,,,unclassified Pieridae ,
1129768,256136,,,Architeuthis dux,
1129769,346249,,,Dosidicus gigas,
1129770,392296,,,Onychoteuthis banksii,
1129777,283855,,,Hyles euphorbiae,
1129778,283848,,,Hyles vespertilio,
1129779,2491703,,,Fusobacterium sp C1,
1129780,2508528,,,Lactobacillus sp.,
1129781,2508527,,,Agrobacterium sp AS1YR2,
1129782,292482,,,Pseudomonas sp.,
1129783,2508526,,,Rhizobium sp GC2LW1,
1129784,374606,,,Aminobacter sp. MSH1,
1129786,1834482,,,Sumatra,
