id,dataset_id,project_id
1,2,1
2,6,2
3,6,3
4,8,2
5,9,2
6,13,2
7,16,2
8,23,4
9,25,2
10,26,2
11,27,2
12,29,2
13,33,2
14,33,5
15,36,6
16,36,7
17,37,8
18,38,8
19,39,8
20,40,8
22,79,2
23,79,3
24,78,2
25,80,3
26,80,2
27,81,2
28,81,3
29,82,2
30,82,3
31,83,2
32,83,3
33,84,2
34,84,3
35,85,2
36,85,3
37,86,2
38,86,3
39,87,2
40,87,3
41,88,2
42,88,3
43,89,2
44,89,3
45,90,2
46,90,3
47,91,2
48,91,3
49,92,2
50,92,3
51,93,2
52,93,3
53,94,2
54,94,3
55,95,2
56,95,3
57,96,2
58,96,3
59,97,2
60,97,3
61,98,2
62,98,3
63,99,2
64,99,3
65,100,2
66,100,3
67,101,2
68,101,3
69,102,2
70,102,3
71,103,2
72,103,3
73,104,2
74,104,3
75,105,2
76,105,3
77,106,2
78,106,3
79,107,2
80,107,3
81,108,2
82,108,3
83,109,2
84,109,3
85,110,2
86,110,3
87,111,2
88,111,3
89,112,2
90,112,3
91,113,2
92,113,3
93,114,2
94,114,3
95,115,2
96,115,3
97,116,2
98,116,3
99,117,2
100,117,3
101,118,2
102,118,3
103,26,3
104,121,2
105,122,2
106,124,2
107,126,2
108,127,9
109,129,2
110,131,2
111,132,2
113,135,10
114,142,11
115,142,12
116,138,2
117,138,3
118,70,13
119,147,14
120,165,15
121,166,15
122,160,15
123,164,15
124,8,3
125,16,3
126,250,16
